case,activity,timestamp,enabled_activities
1,a,2019-01-01T13:00:00+00:00,a
1,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
1,c,2019-01-01T13:02:00+00:00,"c, d, e"
1,d,2019-01-01T13:03:00+00:00,"d, e"
1,e,2019-01-01T13:04:00+00:00,e
1,f,2019-01-01T13:05:00+00:00,f
2,a,2019-01-01T13:00:00+00:00,a
2,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
2,c,2019-01-01T13:02:00+00:00,"c, d, e"
2,d,2019-01-01T13:03:00+00:00,"d, e"
2,e,2019-01-01T13:04:00+00:00,e
2,f,2019-01-01T13:05:00+00:00,f
3,a,2019-01-01T13:00:00+00:00,a
3,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
3,c,2019-01-01T13:02:00+00:00,"c, d, e"
3,d,2019-01-01T13:03:00+00:00,"d, e"
3,e,2019-01-01T13:04:00+00:00,e
3,f,2019-01-01T13:05:00+00:00,f
4,a,2019-01-01T13:00:00+00:00,a
4,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
4,c,2019-01-01T13:02:00+00:00,"c, d, e"
4,d,2019-01-01T13:03:00+00:00,"d, e"
4,e,2019-01-01T13:04:00+00:00,e
4,f,2019-01-01T13:05:00+00:00,f
5,a,2019-01-01T13:00:00+00:00,a
5,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
5,c,2019-01-01T13:02:00+00:00,"c, d, e"
5,d,2019-01-01T13:03:00+00:00,"d, e"
5,e,2019-01-01T13:04:00+00:00,e
5,f,2019-01-01T13:05:00+00:00,f
6,a,2019-01-01T13:00:00+00:00,a
6,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
6,c,2019-01-01T13:02:00+00:00,"c, d, e"
6,d,2019-01-01T13:03:00+00:00,"d, e"
6,e,2019-01-01T13:04:00+00:00,e
6,f,2019-01-01T13:05:00+00:00,f
7,a,2019-01-01T13:00:00+00:00,a
7,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
7,c,2019-01-01T13:02:00+00:00,"c, d, e"
7,d,2019-01-01T13:03:00+00:00,"d, e"
7,e,2019-01-01T13:04:00+00:00,e
7,f,2019-01-01T13:05:00+00:00,f
8,a,2019-01-01T13:00:00+00:00,a
8,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
8,c,2019-01-01T13:02:00+00:00,"c, d, e"
8,d,2019-01-01T13:03:00+00:00,"d, e"
8,e,2019-01-01T13:04:00+00:00,e
8,f,2019-01-01T13:05:00+00:00,f
9,a,2019-01-01T13:00:00+00:00,a
9,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
9,c,2019-01-01T13:02:00+00:00,"c, d, e"
9,d,2019-01-01T13:03:00+00:00,"d, e"
9,e,2019-01-01T13:04:00+00:00,e
9,f,2019-01-01T13:05:00+00:00,f
10,a,2019-01-01T13:00:00+00:00,a
10,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
10,c,2019-01-01T13:02:00+00:00,"c, d, e"
10,d,2019-01-01T13:03:00+00:00,"d, e"
10,e,2019-01-01T13:04:00+00:00,e
10,f,2019-01-01T13:05:00+00:00,f
11,a,2019-01-01T13:00:00+00:00,a
11,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
11,c,2019-01-01T13:02:00+00:00,"c, d, e"
11,d,2019-01-01T13:03:00+00:00,"d, e"
11,e,2019-01-01T13:04:00+00:00,e
11,f,2019-01-01T13:05:00+00:00,f
12,a,2019-01-01T13:00:00+00:00,a
12,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
12,c,2019-01-01T13:02:00+00:00,"c, d, e"
12,d,2019-01-01T13:03:00+00:00,"d, e"
12,e,2019-01-01T13:04:00+00:00,e
12,f,2019-01-01T13:05:00+00:00,f
13,a,2019-01-01T13:00:00+00:00,a
13,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
13,c,2019-01-01T13:02:00+00:00,"c, d, e"
13,d,2019-01-01T13:03:00+00:00,"d, e"
13,e,2019-01-01T13:04:00+00:00,e
13,f,2019-01-01T13:05:00+00:00,f
14,a,2019-01-01T13:00:00+00:00,a
14,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
14,c,2019-01-01T13:02:00+00:00,"c, d, e"
14,d,2019-01-01T13:03:00+00:00,"d, e"
14,e,2019-01-01T13:04:00+00:00,e
14,f,2019-01-01T13:05:00+00:00,f
15,a,2019-01-01T13:00:00+00:00,a
15,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
15,c,2019-01-01T13:02:00+00:00,"c, d, e"
15,d,2019-01-01T13:03:00+00:00,"d, e"
15,e,2019-01-01T13:04:00+00:00,e
15,f,2019-01-01T13:05:00+00:00,f
16,a,2019-01-01T13:00:00+00:00,a
16,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
16,c,2019-01-01T13:02:00+00:00,"c, d, e"
16,d,2019-01-01T13:03:00+00:00,"d, e"
16,e,2019-01-01T13:04:00+00:00,e
16,f,2019-01-01T13:05:00+00:00,f
17,a,2019-01-01T13:00:00+00:00,a
17,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
17,c,2019-01-01T13:02:00+00:00,"c, d, e"
17,d,2019-01-01T13:03:00+00:00,"d, e"
17,e,2019-01-01T13:04:00+00:00,e
17,f,2019-01-01T13:05:00+00:00,f
18,a,2019-01-01T13:00:00+00:00,a
18,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
18,c,2019-01-01T13:02:00+00:00,"c, d, e"
18,d,2019-01-01T13:03:00+00:00,"d, e"
18,e,2019-01-01T13:04:00+00:00,e
18,f,2019-01-01T13:05:00+00:00,f
19,a,2019-01-01T13:00:00+00:00,a
19,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
19,c,2019-01-01T13:02:00+00:00,"c, d, e"
19,d,2019-01-01T13:03:00+00:00,"d, e"
19,e,2019-01-01T13:04:00+00:00,e
19,f,2019-01-01T13:05:00+00:00,f
20,a,2019-01-01T13:00:00+00:00,a
20,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
20,c,2019-01-01T13:02:00+00:00,"c, d, e"
20,d,2019-01-01T13:03:00+00:00,"d, e"
20,e,2019-01-01T13:04:00+00:00,e
20,f,2019-01-01T13:05:00+00:00,f
21,a,2019-01-01T13:00:00+00:00,a
21,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
21,c,2019-01-01T13:02:00+00:00,"c, d, e"
